Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Aaron Anselmino,ARG,DF,20.0,Dortmund,GER-Bundesliga,384,4.27,1,0,0.23,0.0,1,2,8,8,0,0,0.0,0.0,0.0,90,95,34.0,70.08,Zor
Aaron Appindangoyé,GAB,DF,33.0,Kocaelispor,TUR-Super Lig,315,3.5,0,0,0.0,0.0,1,0,1,5,0,0,0.0,0.0,0.0,90,40,34.0,29.24,Zor
Aaron Hickey,SCO,"DF,MF",23.0,Brentford,ENG-Premier League,691,7.68,0,0,0.0,0.0,1,4,7,8,1,0,0.0,0.0,0.0,100,40,38.0,30.43,Zor
Aaron Opoku,GER,"DF,MF",26.0,Kayserispor,TUR-Super Lig,1232,13.69,0,2,0.0,0.15,3,47,5,8,3,0,0.0,0.0,0.0,90,40,34.0,32.83,Zor
Aaron Ramsdale,ENG,GK,27.0,Newcastle,ENG-Premier League,1004,11.16,0,0,0.0,0.0,0,0,0,0,2,0,24.0,1.0,17.0,100,75,38.0,59.11,Zor
Aaron Wan-Bissaka,COD,"DF,MF",27.0,West Ham,ENG-Premier League,2081,23.12,0,2,0.0,0.09,0,43,24,41,4,0,0.0,0.0,0.0,100,40,38.0,35.3,Zor
Aaron Zehnter,GER,"DF,MF",20.0,Wolfsburg,GER-Bundesliga,1456,16.18,2,0,0.12,0.0,5,36,10,16,0,0,0.0,0.0,0.0,90,40,34.0,33.71,Zor
Aarón Escandell,ESP,GK,29.0,Oviedo,ESP-La Liga,3240,36.0,0,1,0.0,0.03,0,0,0,0,3,0,145.0,10.0,56.0,95,40,38.0,39.37,Zor
Aarón Martín,ESP,"MF,DF",28.0,Genoa,ITA-Serie A,2156,23.96,1,5,0.04,0.21,4,194,28,10,2,0,0.0,0.0,0.0,90,40,48.28,33.96,Zor
Abakar Sylla,CIV,DF,22.0,Nantes,FRA-Ligue 1,67,0.74,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,85,40,34.0,28.26,Zor
Abbosbek Fayzullayev,UZB,MF,21.0,Başakşehir,TUR-Super Lig,1103,12.26,3,3,0.24,0.24,12,82,17,6,4,0,0.0,0.0,0.0,90,75,34.0,60.61,Zor
Abdallah Sima,SEN,"MF,FW",24.0,Lens,FRA-Ligue 1,718,7.98,2,2,0.25,0.25,9,14,5,1,3,0,0.0,0.0,0.0,85,70,34.0,53.93,Zor
Abde Ezzalzouli,MAR,"MF,FW",23.0,Real Betis,ESP-La Liga,2247,24.97,10,8,0.4,0.32,26,55,32,15,3,0,0.0,0.0,0.0,95,40,38.0,35.89,Zor
Abde Rebbach,ALG,"MF,DF",26.0,Alavés,ESP-La Liga,1496,16.62,1,4,0.06,0.24,12,109,21,16,8,0,0.0,0.0,0.0,95,40,38.0,33.25,Zor
Abdel Abqar,MAR,DF,26.0,Getafe,ESP-La Liga,1437,15.97,0,2,0.0,0.13,1,2,17,20,10,1,0.0,0.0,0.0,95,40,38.0,33.04,Zor
Abdelhamid Ait Boudlal,MAR,DF,19.0,Rennes,FRA-Ligue 1,1403,15.59,2,1,0.13,0.06,4,2,11,18,3,1,0.0,0.0,0.0,85,40,34.0,33.5,Zor
Abdelhamid Sabiri,MAR,MF,28.0,Fiorentina,ITA-Serie A,27,0.3,0,0,0.0,0.0,0,4,2,0,0,0,0.0,0.0,0.0,90,40,48.28,28.07,Zor
Abdou Harroui,NED,MF,27.0,Hellas Verona,ITA-Serie A,907,10.08,1,0,0.1,0.0,2,28,17,1,3,0,0.0,0.0,0.0,90,40,48.28,30.51,Zor
Abdou Khadre Sy,SEN,FW,17.0,Eyüpspor,TUR-Super Lig,21,0.23,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.08,Zor
Abdoul Coulibaly,GER,DF,18.0,Werder Bremen,GER-Bundesliga,2120,23.56,1,0,0.04,0.0,1,13,14,24,5,1,0.0,0.0,0.0,90,40,34.0,36.32,Zor
Abdoul Ouattara,FRA,"MF,DF",19.0,Strasbourg,FRA-Ligue 1,1768,19.64,2,0,0.1,0.0,11,19,13,20,2,0,0.0,0.0,0.0,85,40,34.0,34.93,Zor
Abdoulaye Bamba,CIV,DF,35.0,Angers,FRA-Ligue 1,255,2.83,0,0,0.0,0.0,1,1,6,6,1,0,0.0,0.0,0.0,85,40,34.0,29.0,Zor
Abdoulaye Camara,FRA,MF,16.0,Udinese,ITA-Serie A,12,0.13,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,90,40,48.28,28.03,Zor
Abdoulaye Faye,SEN,DF,20.0,Lorient,FRA-Ligue 1,1444,16.04,0,0,0.0,0.0,2,4,24,28,8,0,0.0,0.0,0.0,85,40,34.0,33.66,Zor
Abdoulaye Ndiaye,SEN,DF,23.0,Parma,ITA-Serie A,780,8.67,0,0,0.0,0.0,0,0,10,11,5,1,0.0,0.0,0.0,90,40,48.28,30.15,Zor
Abdoulaye Touré,GUI,MF,31.0,Le Havre,FRA-Ligue 1,740,8.22,2,0,0.24,0.0,4,13,6,10,2,0,0.0,0.0,0.0,85,40,34.0,30.9,Zor
Abdoulie Ceesay,GAM,FW,21.0,St Pauli,GER-Bundesliga,336,3.73,3,0,0.8,0.0,4,2,2,0,4,0,0.0,0.0,0.0,90,40,34.0,29.32,Zor
Abdukodir Khusanov,UZB,DF,21.0,Manchester City,ENG-Premier League,1432,15.91,0,0,0.0,0.0,1,3,20,29,2,0,0.0,0.0,0.0,100,100,38.0,82.56,Orta
Abdul Kone,CIV,FW,17.0,Karagümrük,TUR-Super Lig,43,0.48,0,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.17,Zor
Abdul Mumin,GHA,DF,27.0,Rayo Vallecano,ESP-La Liga,79,0.88,0,0,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,95,40,38.0,28.28,Zor
Abdulai Juma Bah,SLE,DF,19.0,Nice,FRA-Ligue 1,1958,21.76,0,0,0.0,0.0,2,0,18,30,7,0,0.0,0.0,0.0,85,40,34.0,35.68,Zor
Abdullah Yiğiter,TUR,GK,25.0,Antalyaspor,TUR-Super Lig,1260,14.0,0,0,0.0,0.0,0,0,0,0,3,0,37.0,6.0,21.0,90,40,34.0,32.94,Zor
Abdulsamet Burak,TUR,DF,29.0,Kayserispor,TUR-Super Lig,375,4.17,0,0,0.0,0.0,0,5,3,6,3,0,0.0,0.0,0.0,90,40,34.0,29.47,Zor
Abdurrahim Dursun,TUR,"DF,MF",26.0,Gençlerbirliği,TUR-Super Lig,667,7.41,0,1,0.0,0.13,1,27,16,7,2,0,0.0,0.0,0.0,90,40,34.0,30.62,Zor
Abdón Prats,ESP,FW,32.0,Mallorca,ESP-La Liga,143,1.59,0,0,0.0,0.0,2,1,0,0,0,0,0.0,0.0,0.0,95,40,38.0,28.5,Zor
Abdülkadir Ömür,TUR,MF,26.0,Antalyaspor,TUR-Super Lig,1316,14.62,0,1,0.0,0.07,10,32,22,10,2,0,0.0,0.0,0.0,90,40,34.0,33.16,Zor
Abdülkerim Bardakcı,TUR,DF,30.0,Galatasaray,TUR-Super Lig,2541,28.23,0,1,0.0,0.04,5,28,26,25,5,0,0.0,0.0,0.0,90,100,34.0,94.91,Kolay
Abel Bretones,ESP,"MF,DF",24.0,Osasuna,ESP-La Liga,1624,18.04,1,2,0.06,0.11,3,34,12,16,5,1,0.0,0.0,0.0,95,40,38.0,33.7,Zor
Abel Ruiz,ESP,FW,25.0,Girona,ESP-La Liga,187,2.08,0,0,0.0,0.0,1,2,1,1,0,0,0.0,0.0,0.0,95,75,38.0,53.73,Zor
Abner,BRA,"DF,MF",25.0,Lyon,FRA-Ligue 1,2150,23.89,3,2,0.13,0.08,7,61,24,8,4,1,0.0,0.0,0.0,85,70,34.0,63.76,Zor
Aboubaka Soumahoro,FRA,"MF,DF",20.0,Hamburger SV,GER-Bundesliga,136,1.51,0,0,0.0,0.0,0,1,0,0,1,0,0.0,0.0,0.0,90,40,34.0,28.53,Zor
Abu Kamara,ENG,MF,22.0,Getafe,ESP-La Liga,256,2.84,0,0,0.0,0.0,1,9,2,3,1,0,0.0,0.0,0.0,95,40,38.0,28.9,Zor
Achraf Hakimi,MAR,DF,26.0,PSG,FRA-Ligue 1,1375,15.28,2,2,0.13,0.13,9,43,13,11,3,1,0.0,0.0,0.0,85,100,34.0,83.48,Orta
Ada Yüzgeç,TUR,FW,16.0,Galatasaray,TUR-Super Lig,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,100,34.0,70.01,Zor
Adam Armstrong,ENG,"FW,MF",28.0,Wolves,ENG-Premier League,1140,12.67,2,2,0.16,0.16,6,5,4,1,3,0,0.0,0.0,0.0,100,40,38.0,32.0,Zor
Adam Boayar,MAR,MF,19.0,Elche,ESP-La Liga,104,1.16,1,0,0.86,0.0,2,2,2,1,0,0,0.0,0.0,0.0,95,40,38.0,28.37,Zor
Adam Buksa,POL,FW,29.0,Udinese,ITA-Serie A,922,10.24,3,0,0.29,0.0,6,1,8,3,3,0,0.0,0.0,0.0,90,40,48.28,30.55,Zor
Adam Daghim,DEN,"MF,FW",19.0,Wolfsburg,GER-Bundesliga,1364,15.16,2,3,0.13,0.2,9,20,20,11,3,0,0.0,0.0,0.0,90,40,34.0,33.35,Zor
Adam Dźwigała,POL,DF,29.0,St Pauli,GER-Bundesliga,1288,14.31,1,1,0.07,0.07,2,2,27,25,5,0,0.0,0.0,0.0,90,40,34.0,33.05,Zor
Adam Hložek,CZE,"FW,MF",23.0,Hoffenheim,GER-Bundesliga,41,0.46,0,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.16,Zor
Adam Karabec,CZE,"MF,FW",22.0,Lyon,FRA-Ligue 1,922,10.24,1,0,0.1,0.0,5,80,3,1,3,0,0.0,0.0,0.0,85,70,34.0,55.32,Zor
Adam Kölle,GER,DF,19.0,Heidenheim,GER-Bundesliga,93,1.03,1,0,0.97,0.0,1,1,1,1,1,0,0.0,0.0,0.0,90,40,34.0,28.36,Zor
Adam Marušić,MNE,DF,32.0,Lazio,ITA-Serie A,2778,30.87,1,2,0.03,0.06,7,35,16,33,1,1,0.0,0.0,0.0,90,75,48.28,66.89,Zor
Adam Masina,MAR,DF,31.0,Torino,ITA-Serie A,235,2.61,0,1,0.0,0.38,0,0,4,5,0,0,0.0,0.0,0.0,90,40,48.28,28.65,Zor
Adam Obert,SVK,"DF,MF",22.0,Cagliari,ITA-Serie A,2771,30.79,0,3,0.0,0.1,3,69,32,44,10,1,0.0,0.0,0.0,90,40,48.28,35.65,Zor
Adam Smith,ENG,DF,34.0,Bournemouth,ENG-Premier League,1077,11.97,0,2,0.0,0.17,0,13,12,10,3,0,0.0,0.0,0.0,100,70,38.0,55.62,Zor
Adam Wharton,ENG,MF,21.0,Crystal Palace,ENG-Premier League,2552,28.36,1,5,0.04,0.18,6,86,36,27,6,1,0.0,0.0,0.0,100,70,38.0,64.67,Zor
Adama Boiro,ESP,DF,23.0,Athletic Club,ESP-La Liga,815,9.06,0,0,0.0,0.0,0,24,11,18,1,0,0.0,0.0,0.0,95,75,38.0,57.86,Zor
Adama Camara,FRA,"MF,DF",28.0,Paris FC,FRA-Ligue 1,2159,23.99,1,0,0.04,0.0,5,14,30,38,8,0,0.0,0.0,0.0,85,40,34.0,36.47,Zor
Adama Traoré,ESP,MF,29.0,Fulham,ENG-Premier League,395,4.39,0,0,0.0,0.0,1,27,2,0,1,0,0.0,0.0,0.0,100,40,38.0,29.39,Zor
Adama Traoré,MLI,"MF,FW",30.0,Gençlerbirliği,TUR-Super Lig,1070,11.89,2,1,0.17,0.08,6,11,7,4,4,0,0.0,0.0,0.0,90,40,34.0,32.2,Zor
Adamo Nagalo,BFA,DF,22.0,Konyaspor,TUR-Super Lig,598,6.64,0,0,0.0,0.0,0,0,5,6,4,1,0.0,0.0,0.0,90,40,34.0,30.34,Zor
Adem Arous,TUN,DF,21.0,Kasımpaşa,TUR-Super Lig,1670,18.56,1,0,0.05,0.0,1,4,22,24,2,0,0.0,0.0,0.0,90,40,34.0,34.55,Zor
Ademola Lookman,NGA,"FW,MF",27.0,Atalanta,ESP-La Liga,1412,15.69,6,0,0.38,0.0,13,33,6,4,1,0,0.0,0.0,0.0,95,75,38.0,61.79,Zor
Adil Demirbağ,TUR,DF,27.0,Konyaspor,TUR-Super Lig,2085,23.17,2,2,0.09,0.09,2,7,20,36,10,0,0.0,0.0,0.0,90,40,34.0,36.18,Zor
Adil Hamdani,FRA,MF,16.0,Lyon,FRA-Ligue 1,27,0.3,0,0,0.0,0.0,0,4,0,0,0,0,0.0,0.0,0.0,85,70,34.0,49.19,Zor
Adnan Januzaj,BEL,"MF,FW",30.0,Sevilla,ESP-La Liga,321,3.57,0,0,0.0,0.0,0,30,4,1,1,0,0.0,0.0,0.0,95,40,38.0,29.13,Zor
Adrian Beck,GER,MF,28.0,Heidenheim,GER-Bundesliga,868,9.64,1,1,0.1,0.1,4,15,17,3,1,0,0.0,0.0,0.0,90,40,34.0,31.4,Zor
Adrian Benedyczak,POL,FW,24.0,Kasımpaşa,ITA-Serie A,1645,18.28,11,2,0.6,0.11,21,21,15,5,2,0,0.0,0.0,0.0,90,40,48.28,32.54,Zor
Adrian Bernabe,ESP,MF,24.0,Parma,ITA-Serie A,2470,27.44,3,1,0.11,0.04,12,81,23,17,0,0,0.0,0.0,0.0,90,40,48.28,34.82,Zor
Adrian Przyborek,POL,MF,18.0,Lazio,ITA-Serie A,9,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,75,48.28,52.55,Zor
Adrian Šemper,CRO,GK,27.0,Pisa,ITA-Serie A,2250,25.0,0,0,0.0,0.0,0,0,0,0,0,0,82.0,4.0,42.0,90,40,48.28,34.21,Zor
Adrien Rabiot,FRA,MF,30.0,Milan,ITA-Serie A,2640,29.33,6,4,0.2,0.14,12,67,31,20,7,1,0.0,0.0,0.0,90,80,48.28,70.58,Zor
Adrien Tameze,CMR,DF,31.0,Torino,ITA-Serie A,1120,12.44,0,0,0.0,0.0,0,14,12,19,3,0,0.0,0.0,0.0,90,40,48.28,31.09,Zor
Adrien Thomasson,FRA,MF,31.0,Lens,FRA-Ligue 1,2683,29.81,3,9,0.1,0.3,13,121,56,20,11,0,0.0,0.0,0.0,85,70,34.0,67.41,Zor
Adrien Truffert,FRA,DF,23.0,Bournemouth,ENG-Premier League,3379,37.54,1,5,0.03,0.13,6,142,51,43,5,0,0.0,0.0,0.0,100,70,38.0,69.75,Zor
Adrià Altimira,ESP,"DF,MF",24.0,Villarreal,ESP-La Liga,9,0.1,0,0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,95,75,38.0,52.56,Zor
Adrià Pedrosa,ESP,"DF,MF",27.0,Elche,ESP-La Liga,1096,12.18,1,1,0.08,0.08,3,54,19,16,4,0,0.0,0.0,0.0,95,40,38.0,31.85,Zor
Adrián,ESP,GK,38.0,Real Betis,ESP-La Liga,90,1.0,0,0,0.0,0.0,0,0,0,0,0,0,6.0,0.0,1.0,95,40,38.0,28.32,Zor
Adrián Liso,ESP,"FW,MF",20.0,Getafe,ESP-La Liga,1702,18.91,3,0,0.16,0.0,10,42,22,4,5,1,0.0,0.0,0.0,95,40,38.0,33.97,Zor
Adrián de la Fuente,ESP,DF,26.0,Levante,ESP-La Liga,2711,30.12,3,1,0.1,0.03,9,40,18,48,5,0,0.0,0.0,0.0,95,40,38.0,37.51,Zor
Afonso Moreira,POR,"MF,FW",20.0,Lyon,FRA-Ligue 1,1722,19.13,4,7,0.21,0.37,14,119,22,12,3,0,0.0,0.0,0.0,85,70,34.0,60.82,Zor
Afonso Sousa,POR,MF,25.0,Samsunspor,TUR-Super Lig,176,1.96,1,1,0.51,0.51,3,9,2,1,1,0,0.0,0.0,0.0,90,40,34.0,28.69,Zor
Agustín Albarracín,URU,FW,19.0,Cagliari,ITA-Serie A,33,0.37,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,90,40,48.28,28.09,Zor
Ahmed Ildiz,TUR,MF,28.0,Göztepe,TUR-Super Lig,50,0.56,0,0,0.0,0.0,0,0,1,1,1,0,0.0,0.0,0.0,90,40,34.0,28.2,Zor
Ahmed Kutucu,TUR,"FW,MF",25.0,Galatasaray,TUR-Super Lig,112,1.24,0,1,0.0,0.81,1,1,2,3,0,0,0.0,0.0,0.0,90,100,34.0,71.09,Zor
Ahmed Traore,CIV,MF,18.0,Karagümrük,TUR-Super Lig,390,4.33,1,0,0.23,0.0,4,3,5,2,1,0,0.0,0.0,0.0,90,40,34.0,29.53,Zor
Ahmet Dağdevir,TUR,MF,18.0,Konyaspor,TUR-Super Lig,25,0.28,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,90,40,34.0,28.1,Zor
Ahmet Doğan Yıldırım,TUR,GK,18.0,Trabzonspor,TUR-Super Lig,84,0.93,0,0,0.0,0.0,0,0,0,0,1,0,2.0,0.0,1.0,90,90,34.0,63.74,Zor
Ahmet Oğuz,TUR,DF,32.0,Kocaelispor,TUR-Super Lig,2144,23.82,0,2,0.0,0.08,2,119,48,42,10,0,0.0,0.0,0.0,90,40,34.0,36.41,Zor
Ahmet Sagat,GER,FW,29.0,Kocaelispor,TUR-Super Lig,2,0.02,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.01,Zor
Ahmet Sivri,TUR,"MF,FW",26.0,Karagümrük,TUR-Super Lig,299,3.32,0,0,0.0,0.0,3,7,2,4,0,0,0.0,0.0,0.0,90,40,34.0,29.17,Zor
Ahmet Tırpancı,TUR,DF,18.0,Konyaspor,TUR-Super Lig,1,0.01,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,90,40,34.0,28.0,Zor
Ahmet Şen,TUR,GK,26.0,Galatasaray,TUR-Super Lig,70,0.78,0,0,0.0,0.0,0,0,0,0,0,0,5.0,0.0,2.0,90,100,34.0,70.69,Zor
Aihen Muñoz,ESP,DF,27.0,Real Sociedad,ESP-La Liga,848,9.42,1,0,0.11,0.0,2,24,18,5,1,0,0.0,0.0,0.0,95,75,38.0,58.08,Zor
Aiman Dardari,LUX,MF,20.0,Augsburg,GER-Bundesliga,34,0.38,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,90,40,34.0,28.13,Zor
Aimar Oroz,ESP,"MF,FW",23.0,Osasuna,ESP-La Liga,2139,23.77,0,2,0.0,0.08,4,32,18,8,6,0,0.0,0.0,0.0,95,40,38.0,35.51,Zor
Ainsley Maitland-Niles,ENG,"DF,MF",27.0,Lyon,FRA-Ligue 1,2483,27.59,1,4,0.04,0.14,7,44,36,33,7,1,0.0,0.0,0.0,85,70,34.0,66.04,Zor
Aitor Fernández,ESP,GK,34.0,Osasuna,ESP-La Liga,136,1.51,0,0,0.0,0.0,0,0,0,0,3,0,9.0,0.0,3.0,95,40,38.0,28.48,Zor
Aitor Mañas,ESP,FW,22.0,Alavés,ESP-La Liga,122,1.36,0,0,0.0,0.0,1,0,2,1,0,0,0.0,0.0,0.0,95,40,38.0,28.43,Zor
Aitor Paredes,ESP,DF,25.0,Athletic Club,ESP-La Liga,1630,18.11,2,0,0.11,0.0,4,1,12,26,4,0,0.0,0.0,0.0,95,75,38.0,63.22,Zor
Aitor Ruibal,ESP,"DF,MF",29.0,Real Betis,ESP-La Liga,1808,20.09,4,2,0.2,0.1,12,31,32,20,6,1,0.0,0.0,0.0,95,40,38.0,34.34,Zor
Akor Adams,NGA,FW,25.0,Sevilla,ESP-La Liga,2064,22.93,10,3,0.44,0.13,30,17,4,1,3,0,0.0,0.0,0.0,95,40,38.0,35.24,Zor
Al-Musrati,LBY,MF,29.0,Hellas Verona,ITA-Serie A,844,9.38,0,1,0.0,0.11,1,2,7,11,6,1,0.0,0.0,0.0,90,40,48.28,30.33,Zor
Aladji Bamba,FRA,MF,19.0,Monaco,FRA-Ligue 1,816,9.07,0,2,0.0,0.22,1,4,20,8,2,0,0.0,0.0,0.0,85,70,34.0,54.6,Zor
Alan Matturro,URU,DF,20.0,Levante,ESP-La Liga,947,10.52,1,1,0.1,0.1,1,0,13,6,0,1,0.0,0.0,0.0,95,40,38.0,31.32,Zor
Alassane Diatta,SEN,MF,20.0,Villarreal,ESP-La Liga,25,0.28,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,95,75,38.0,52.67,Zor
Alassane Ndao,SEN,"MF,FW",28.0,Konyaspor,TUR-Super Lig,790,8.78,2,3,0.23,0.34,4,31,7,5,0,0,0.0,0.0,0.0,90,40,34.0,31.1,Zor
Albert Grønbaek,DEN,MF,24.0,Hamburger SV,ITA-Serie A,595,6.61,1,2,0.15,0.3,5,7,12,11,1,0,0.0,0.0,0.0,90,40,48.28,29.64,Zor
Albert Guðmundsson,ISL,"FW,MF",28.0,Fiorentina,ITA-Serie A,2250,25.0,5,4,0.2,0.16,15,54,4,3,4,1,0.0,0.0,0.0,90,40,48.28,34.21,Zor
Albert Sambi Lokonga,BEL,MF,25.0,Hamburger SV,GER-Bundesliga,1710,19.0,5,0,0.26,0.0,11,13,13,13,3,0,0.0,0.0,0.0,90,40,34.0,34.71,Zor
Alberto Dossena,ITA,DF,26.0,Cagliari,ITA-Serie A,859,9.54,0,1,0.0,0.1,2,0,13,9,5,0,0.0,0.0,0.0,90,40,48.28,30.37,Zor
Alberto Grassi,ITA,MF,30.0,Cremonese,ITA-Serie A,1753,19.48,0,0,0.0,0.0,4,3,11,35,4,1,0.0,0.0,0.0,90,40,48.28,32.84,Zor
Alberto Moleiro,ESP,MF,21.0,Villarreal,ESP-La Liga,2478,27.53,10,5,0.36,0.18,20,31,21,14,4,0,0.0,0.0,0.0,95,75,38.0,68.8,Zor
Alberto Moreno,ESP,DF,33.0,Como,ITA-Serie A,1233,13.7,2,1,0.15,0.07,4,34,12,7,4,0,0.0,0.0,0.0,90,40,48.28,31.41,Zor
Alberto Paleari,ITA,GK,32.0,Torino,ITA-Serie A,2610,29.0,0,0,0.0,0.0,0,0,0,1,1,0,82.0,9.0,45.0,90,40,48.28,35.21,Zor
Alberto Reina,ESP,MF,27.0,Oviedo,ESP-La Liga,2462,27.36,4,1,0.15,0.04,11,52,18,19,6,1,0.0,0.0,0.0,95,40,38.0,36.64,Zor
Albian Hajdari,KVX,DF,22.0,Hoffenheim,GER-Bundesliga,2434,27.04,1,2,0.04,0.07,4,19,38,42,10,0,0.0,0.0,0.0,90,40,34.0,37.54,Zor
Aleix Febas,ESP,MF,29.0,Elche,ESP-La Liga,3160,35.11,2,2,0.06,0.06,8,22,46,27,10,0,0.0,0.0,0.0,95,40,38.0,39.09,Zor
Aleix García,ESP,MF,28.0,Leverkusen,GER-Bundesliga,2667,29.63,3,8,0.1,0.27,5,123,20,22,6,0,0.0,0.0,0.0,90,85,34.0,81.72,Orta
Alejandro Balde,ESP,DF,21.0,Barcelona,ESP-La Liga,1869,20.77,0,2,0.0,0.1,1,25,21,6,2,0,0.0,0.0,0.0,95,100,38.0,86.4,Kolay
Alejandro Francés,ESP,DF,22.0,Girona,ESP-La Liga,1116,12.4,0,2,0.0,0.16,4,24,15,16,2,1,0.0,0.0,0.0,95,75,38.0,59.84,Zor
Alejandro Garnacho,ARG,MF,21.0,Chelsea,ENG-Premier League,1268,14.09,1,4,0.07,0.28,7,61,13,4,2,0,0.0,0.0,0.0,100,80,38.0,64.9,Zor
Alejandro Mestanza,ESP,MF,20.0,Getafe,ESP-La Liga,71,0.79,0,0,0.0,0.0,0,4,1,0,0,0,0.0,0.0,0.0,95,40,38.0,28.25,Zor
Alejandro Rego,ESP,MF,22.0,Athletic Club,ESP-La Liga,1279,14.21,1,1,0.07,0.07,3,6,20,21,6,0,0.0,0.0,0.0,95,75,38.0,60.91,Zor
Alejo Sarco,ARG,FW,19.0,Leverkusen,GER-Bundesliga,127,1.41,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,85,34.0,60.56,Zor
Aleksa Puric,SRB,DF,22.0,Atlético Madrid,ESP-La Liga,46,0.51,0,0,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,95,92,38.0,64.77,Zor
Aleksandar Jovanović,SRB,GK,32.0,Kocaelispor,TUR-Super Lig,1575,17.5,0,0,0.0,0.0,0,0,0,0,3,0,32.0,6.0,18.0,90,40,34.0,34.18,Zor
Aleksandar Pavlovic,GER,MF,21.0,Bayern Munich,GER-Bundesliga,1462,16.24,3,1,0.18,0.06,5,15,15,13,2,0,0.0,0.0,0.0,90,100,34.0,84.33,Orta
Aleksandr Golovin,RUS,MF,29.0,Monaco,FRA-Ligue 1,1649,18.32,5,5,0.27,0.27,18,37,18,21,4,1,0.0,0.0,0.0,85,70,34.0,60.32,Zor
Alessandro Bastoni,ITA,DF,26.0,Inter,ITA-Serie A,2239,24.88,1,4,0.04,0.16,8,85,39,21,6,0,0.0,0.0,0.0,90,95,48.28,81.19,Orta
Alessandro Buongiorno,ITA,DF,26.0,Napoli,ITA-Serie A,2521,28.01,0,1,0.0,0.04,3,6,22,40,3,0,0.0,0.0,0.0,90,90,48.28,78.66,Orta
Alessandro Cardinali,ITA,FW,19.0,Parma,ITA-Serie A,45,0.5,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,90,40,48.28,28.12,Zor
Alessandro Circati,AUS,DF,21.0,Parma,ITA-Serie A,2664,29.6,1,0,0.03,0.0,1,5,25,27,6,0,0.0,0.0,0.0,90,40,48.28,35.36,Zor
Alessandro Deiola,ITA,"MF,DF",29.0,Cagliari,ITA-Serie A,1430,15.89,0,2,0.0,0.13,7,2,20,13,3,0,0.0,0.0,0.0,90,40,48.28,31.95,Zor
Alessandro Di Pardo,ITA,"DF,MF",26.0,Cagliari,ITA-Serie A,54,0.6,0,0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,90,40,48.28,28.15,Zor
Alessandro Marcandalli,ITA,DF,22.0,Genoa,ITA-Serie A,2597,28.86,0,2,0.0,0.07,2,10,24,18,4,0,0.0,0.0,0.0,90,40,48.28,35.17,Zor
Alessandro Romano,SUI,MF,19.0,Roma,ITA-Serie A,8,0.09,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,75,48.28,52.54,Zor
Alessandro Zanoli,ITA,MF,24.0,Udinese,ITA-Serie A,1280,14.22,1,2,0.07,0.14,1,40,18,7,1,0,0.0,0.0,0.0,90,40,48.28,31.53,Zor
Alessio Castro-Montes,BEL,"MF,DF",28.0,Köln,GER-Bundesliga,672,7.47,1,3,0.13,0.4,1,57,17,5,2,0,0.0,0.0,0.0,90,40,34.0,30.64,Zor
Alessio Furlanetto,ITA,GK,23.0,Lazio,ITA-Serie A,180,2.0,0,0,0.0,0.0,0,0,0,0,0,0,7.0,0.0,3.0,90,75,48.28,53.43,Zor
Alessio Romagnoli,ITA,DF,30.0,Lazio,ITA-Serie A,2666,29.62,0,0,0.0,0.0,4,2,14,32,6,1,0.0,0.0,0.0,90,75,48.28,66.3,Zor
Alessio Zerbin,ITA,MF,26.0,Cremonese,ITA-Serie A,1646,18.29,0,3,0.0,0.16,7,58,20,3,1,0,0.0,0.0,0.0,90,40,48.28,32.55,Zor
Alex Freeman,USA,DF,20.0,Villarreal,ESP-La Liga,346,3.84,0,0,0.0,0.0,0,1,8,5,0,0,0.0,0.0,0.0,95,75,38.0,54.77,Zor
